FILE PATH	TRANSLATION KEY	ENGLISH	GERMAN	FRENCH
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ERROR_LOGIN	Unauthorized	Beim Anmelden ist ein Fehler aufgetreten	Unauthorized
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.RESET_SUCCESSFUL	Password Reset Successful	Ihr Passwort wurde erfolgreich zurückgesetzt	FR: Password Reset Successful
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.RESET_FAILED	Couldn't reset password	Leider konnte das Passwort konnte nicht zurückgesetzt werden	FR: Couldn't reset password
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.PASSWORD_RESET_SUCCESS	Your password has been reset successfully.	Das Passwort wurde erfolgreich zurückgesetzt	FR: Your password has been reset successfully.
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.SIGNUP	Sign Up Now	Registrieren Now	FR: Sign Up Now
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.LOGIN_WITH	Or login with	oder melden Sie sich mit [...] an	FR: Or login with
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.NOT_LOGED	Don't have an account?	Haben Sie noch kein Konto?	FR: Don't have an account?
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.NEW_PASSWORD	Type new password	Bitte geben Sie ein neues Passwort ein	FR: Type new password
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.FREE	It's free	Es ist kostenlos	FR: It's free
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.ERROR_SAME_PASSWORD	Confirm password didn't match	Die Passwörter stimmen nicht überein	FR: Confirm password didn't match
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.FACEBOOK	Facebook	Facebook	FR: Facebook
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.PRIVACY_POLICY	Privacy Policy	Datenschutzerklärung	FR: Privacy Policy
C:\Users\al.amin\Desktop\JSON to CSV\app\app2\i18n	LOGIN.TWITTER	Twitter	Twitter	FR: Twitter
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.SOUNDCLOUD	Soundcloud	Soundcloud	Soundcloud
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.TERMS_OF_SERVICE	Terms of Service	Allgemeine Geschäftsbedingungen	Terms of Service FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.TYPE_NEW_PASSWORD	Set new password	Neues Passwort festlegen	Set new password FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.RETYPE_NEW_PASSWORD	Retype new password	Neues Passwort erneut eingeben	Retype new password FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.WEAK_PASSWORD	Password is too weak	Das von Ihnen angegebene Passwort ist nicht stark genug. Bitte benutzen Sie mindestens einen Klein-, einen Grossbuchstaben und eine Zahl.	Password is too weak FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.LINK_VERIFY_FAIL_MESSAGE	Authentication link is not valid.	Dieser Authentifikationslink ist ungültig.	Authentication link is not valid. FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.PASSWORD_WEAK	Password must be within 6 to 15 characters. Must include one UPPERCASE letter, one lowercase letter and one digit.	Das Passwort muss zwischen 6 und 15 Zeichen lang sein und mindestens einen Gross- und einen Kleinbuchstaben und eine Zahl enthalten.	Password must be within 6 to 15 characters. Must include one UPPERCASE letter, one lowercase letter and one digit. FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.CANCEL	Cancel	Abbrechen	Cancel FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.EMAIL_SEND_SUCCESS	Please check your email to complete registration process.	Bitte überprüfen Sie Ihren E-Mail-Eingang, um die Registrierung abzuschliessen.	Please check your email to complete registration process. FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.EMAIL_SETUP	Email Setup	E-Mail Einstellungen	Email Setup FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.ENTER_EMAIL_MESSAGE	Please enter your email address to complete social login process	Bitte geben Sie ihre E-Mail-Adresse ein, um den Login-Prozess abzuschliessen.	Please enter your email address to complete social login process FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.OK	Ok	Ok	Ok FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.SIGNUP_NOW	Sign Up Now	Jetzt anmelden	Sign Up Now FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.ERROR_CAPTCHA	Captcha did not match	Leider stimmt das Captcha nicht mit Ihrer Eingabe überein	Captcha did not match FR
C:\Users\al.amin\Desktop\JSON to CSV\app\app3\i18n	LOGIN.HAVING_TROUBLE	Having trouble?	Bei Problemen helfen wir Ihnen gerne auf info@creditworld.ch oder unter 044 520 99 59 weiter	Having trouble FR
C:\Users\al.amin\Desktop\JSON to CSV\i18n\app	key_1.translation_1	hello	DE: hello	FR: hello
C:\Users\al.amin\Desktop\JSON to CSV\i18n\app	key_1.translation_2	hello2	DE: hello2	FR: hello2
C:\Users\al.amin\Desktop\JSON to CSV\i18n\app	key_1.translation_3	hello3	DE: hello3	FR: hello3
C:\Users\al.amin\Desktop\JSON to CSV\i18n\app	key_1.translation_4	hello4	DE: hello4	FR: hello4
